time,tavg,tmin,tmax,prcp
01-01-1990,22.9,19.1,28.4,
02-01-1990,21.7,,26.5,0
03-01-1990,21,16.4,26.5,0
04-01-1990,20.8,,27.4,0
05-01-1990,20.4,14.2,26.1,0
06-01-1990,20.4,17.1,24.2,
07-01-1990,18.8,,20.5,
08-01-1990,20,16.6,25.1,0
09-01-1990,21,15.5,,0
10-01-1990,21.2,15,27.7,0
11-01-1990,21.8,16,28.5,0
12-01-1990,21.1,13.2,,0
13-01-1990,18.8,11.2,27.2,0
14-01-1990,19.8,11.5,29,0
15-01-1990,21,11.5,30.3,0
16-01-1990,22.1,12.6,29.7,0
17-01-1990,23.8,,29,0
18-01-1990,20.1,13.8,,0
19-01-1990,21.3,12.2,30.7,0
20-01-1990,20.3,13,30.7,0
21-01-1990,23.8,,,0
22-01-1990,22.2,13.2,30.4,0
23-01-1990,20.7,14.7,,0
24-01-1990,21.5,14.5,29,0
25-01-1990,22.7,15.4,30.7,0
26-01-1990,22.7,14,30.4,0
27-01-1990,21.2,14.8,29.4,0
28-01-1990,19.2,14,29.7,0
29-01-1990,20.9,13.9,28.5,0
30-01-1990,21.4,14.3,30,0
31-01-1990,22.4,14.4,,0
01-02-1990,22.4,13.5,31.6,0
02-02-1990,22.4,14.5,31.9,0
03-02-1990,21.7,,29.9,0
04-02-1990,22.8,,30.5,0
05-02-1990,22.9,14,31.3,0
06-02-1990,22.3,15.9,29.7,0
07-02-1990,20.2,12.5,27.3,0
08-02-1990,22.3,16.9,28,0
09-02-1990,22.8,,28.3,0
10-02-1990,22.6,,,0
11-02-1990,22.9,17.9,28.5,0
12-02-1990,23.2,17,29.5,0
13-02-1990,23.1,,,0
14-02-1990,24.8,16.8,30.6,0
15-02-1990,24.7,19.4,31.5,0
16-02-1990,25.8,20.6,31.5,
17-02-1990,25.2,18.9,33.4,0
18-02-1990,23.9,18.8,32.6,0
19-02-1990,26.3,18.8,32.3,0
20-02-1990,24.8,18.8,31,0
21-02-1990,24.1,17.8,31,0
22-02-1990,24.3,16.4,31.9,0
23-02-1990,26.1,17.9,32.2,0
24-02-1990,25.6,18.8,31.5,0
25-02-1990,25,18.6,31.5,0
26-02-1990,25.2,19,,0
27-02-1990,23.6,18.6,29.5,
28-02-1990,27.4,20.1,,0
01-03-1990,26,21.4,31.5,0
02-03-1990,27.1,21,33.6,0
03-03-1990,25.9,20.9,31.6,0
04-03-1990,27.1,,31.5,0
05-03-1990,26.4,21,32.7,0
06-03-1990,27.6,,32.7,0
07-03-1990,26.7,21.8,32.4,0
08-03-1990,26.2,21.4,33.7,0
09-03-1990,26.3,20.5,31.5,0
10-03-1990,21.6,20.1,26.7,2.3
11-03-1990,23.1,20,28.5,1
12-03-1990,25.3,20,31.3,0
13-03-1990,26.4,21.5,32.7,0.3
14-03-1990,25.8,20.5,33.5,0
15-03-1990,28.1,21,34.6,0
16-03-1990,25.7,,32.5,0
17-03-1990,24.8,19,,0
18-03-1990,24.3,18.4,30.9,0
19-03-1990,26.2,18,32,0
20-03-1990,25.8,19.1,32.5,0
21-03-1990,26.9,20.3,33.5,0
22-03-1990,27.5,21.5,34.8,0
