time,tavg,tmin,tmax,prcp
01-01-1990,25.2,22.8,28.4,0.5
02-01-1990,24.9,21.7,29.1,0
03-01-1990,25.6,21.4,29.8,0
04-01-1990,25.7,,28.7,0
05-01-1990,25.5,20.7,28.4,0
06-01-1990,24.7,,26.1,0.5
07-01-1990,25.4,23.3,27,18
08-01-1990,25.6,22,28,0.5
09-01-1990,24.8,21.7,28.5,0
10-01-1990,24.7,20.7,29,0
11-01-1990,24.5,20,28.8,0
12-01-1990,23.8,18,29.4,0
13-01-1990,23.1,17.1,31.3,0
14-01-1990,23.9,17.5,31.8,0
15-01-1990,23.3,17.4,30.5,0
16-01-1990,23.3,18,29.8,0
17-01-1990,23.4,,28.9,0
18-01-1990,22.6,18.2,30.2,0
19-01-1990,23,17.2,30.4,0
20-01-1990,23.1,16.9,33.3,0
21-01-1990,24.2,17,32.9,0
22-01-1990,23.1,18.4,30.7,0
23-01-1990,24.2,20.4,29.6,0
24-01-1990,24.3,19.5,29.5,0
25-01-1990,24.8,20.1,30.9,0
26-01-1990,24.5,19.9,29.7,0
27-01-1990,24.1,19.9,29.6,0
28-01-1990,24.1,19.1,29.4,0
29-01-1990,23.9,20.2,,0
30-01-1990,23.5,20.1,30.1,0
31-01-1990,23.7,,29.8,0
01-02-1990,23.8,18.6,30,0
02-02-1990,24.6,19.1,29.6,0
03-02-1990,23.9,19.4,30.1,0
04-02-1990,24.3,,,31
05-02-1990,25.3,18.9,,0
06-02-1990,24.3,19.8,30,0
07-02-1990,24.9,20.8,29.9,0
08-02-1990,25.8,22,30.3,0
09-02-1990,26.1,21.8,30.7,0
10-02-1990,26.8,22.4,30.9,0
11-02-1990,26.6,22.9,31,0
12-02-1990,26.7,22.8,31.3,0
13-02-1990,26.3,,,0
14-02-1990,26.3,22.4,31.4,0
15-02-1990,27.9,,,0
16-02-1990,27,24.3,30.4,0
17-02-1990,27.4,24.5,32.4,0
18-02-1990,27.7,24.8,,0
19-02-1990,28,25.2,32.6,
20-02-1990,27.5,23.4,33,5.3
21-02-1990,28.2,24.8,36,0
22-02-1990,28.4,23.8,34.1,0
23-02-1990,28.3,24.7,32.6,0
24-02-1990,28.6,25.4,33.7,0
25-02-1990,28.6,25,34.3,0
26-02-1990,29.1,25.3,36,0
27-02-1990,29.4,24.7,33.8,0
28-02-1990,29.4,24.9,34.4,0
01-03-1990,28.1,24.1,33.5,0
02-03-1990,27.9,23.8,32.9,0
03-03-1990,29.9,24.7,35.8,0
04-03-1990,28.7,,33.3,0
05-03-1990,29,25.9,35.4,0
06-03-1990,28.3,,32,0
07-03-1990,29.1,25.9,35.1,0
08-03-1990,28.6,26,35,0
09-03-1990,27.6,25.2,32.4,
10-03-1990,27.2,24.4,29.8,
11-03-1990,26.3,23.5,30.7,
12-03-1990,27.7,24.4,32.1,0
13-03-1990,28.8,24.5,34.4,0
14-03-1990,29.3,26,35.1,0
15-03-1990,29.3,25.7,34.7,0
16-03-1990,28.3,,,0
17-03-1990,28.3,23.9,32.4,0
18-03-1990,27.6,23.8,32.2,0
19-03-1990,28.1,22.9,32.4,
20-03-1990,28.6,,33.2,0
21-03-1990,28.2,24.7,33.7,0
22-03-1990,28.4,24.3,34,0
23-03-1990,29.2,24.4,36.2,0
24-03-1990,30.3,21.2,36.6,0
25-03-1990,30.6,,,
26-03-1990,29.8,,37.4,0
27-03-1990,28.4,,34.4,7.1
28-03-1990,29.9,26.2,35.1,0
29-03-1990,29.4,26.8,34,0
30-03-1990,28.9,25.5,33.3,0
31-03-1990,28.7,25.2,33.1,0
01-04-1990,28.9,24.8,34,0
02-04-1990,28.1,24.8,35.3,0
03-04-1990,29.3,26.6,,0
04-04-1990,29.8,26.2,35,0
05-04-1990,30.1,,35.5,0
06-04-1990,30.6,26,,0
07-04-1990,29.8,26,33.3,0
08-04-1990,29.6,25.6,34.4,0
09-04-1990,29.8,26.3,,0
10-04-1990,30.8,26.8,37.1,0
11-04-1990,31.4,26.6,36.9,0
12-04-1990,29.8,27,34.4,0
13-04-1990,30.5,26.2,35.7,0
14-04-1990,29.8,25.9,35.8,0
15-04-1990,30.6,26.1,34.4,0
16-04-1990,30.3,26,35.5,0
17-04-1990,30.2,26.6,34.6,0
18-04-1990,30.8,26.7,35.4,0
19-04-1990,32.3,26.5,39.6,0
20-04-1990,31.4,,40.9,
21-04-1990,32.8,28.4,40.7,0
22-04-1990,31.6,,40.4,0
23-04-1990,31.4,26.8,39.4,0
24-04-1990,30.7,26.3,36.7,0
25-04-1990,29.8,26.5,38.3,0
26-04-1990,29.4,26.3,35.5,0
27-04-1990,29.9,26.5,35.4,0
28-04-1990,30.5,26.6,36,0
29-04-1990,31,26.9,35.9,0
30-04-1990,30.5,,34.5,0
01-05-1990,30.3,27.3,34.6,0
02-05-1990,29.8,26.6,34.7,0
03-05-1990,30.3,25.7,,0
04-05-1990,30.9,27,35.3,0
05-05-1990,30.6,26.5,34.5,0
06-05-1990,28.7,,33.9,0
07-05-1990,25.8,,29.3,31.2
08-05-1990,24.8,,,126.5
09-05-1990,29.8,23.6,33.1,6.4
10-05-1990,28.2,,34.8,3
11-05-1990,28.7,,31.3,0
12-05-1990,27.3,26,29.5,4.8
13-05-1990,29.8,25.4,34.3,3.8
14-05-1990,30.1,,36.6,0
15-05-1990,31.6,27.1,38.6,0
16-05-1990,31.5,27.2,,0
17-05-1990,31.7,27.1,39,0
18-05-1990,30.9,27.6,38,0
19-05-1990,31.5,,38.4,
20-05-1990,30.2,27.2,36.7,
21-05-1990,31,,36.4,
22-05-1990,30.8,26,37.1,2
23-05-1990,30.5,,35.9,0
24-05-1990,28.7,24.9,,0.5
25-05-1990,30.3,26.4,35.5,0
26-05-1990,,,,
27-05-1990,,,,
28-05-1990,,,,
29-05-1990,,,,
30-05-1990,,,,
31-05-1990,32.2,28,37.2,0
01-06-1990,31.6,28.8,38.2,0
02-06-1990,31.1,27.8,,0
03-06-1990,30.8,,37.9,
04-06-1990,31,25.4,37.3,
05-06-1990,30.6,27,37.8,0.3
06-06-1990,32.2,,38,0
07-06-1990,29.3,,38.2,
08-06-1990,30.2,,34.3,
09-06-1990,30.3,,35.9,
10-06-1990,30.3,25.1,35.8,0.3
11-06-1990,30.7,28,,0
12-06-1990,29.8,25.4,34.7,0.8
13-06-1990,29.3,26.6,34.3,0
14-06-1990,30.9,26.8,36.9,0
15-06-1990,30,26.6,,0.3
16-06-1990,31.1,,36.9,0
17-06-1990,31.9,28,35.5,0
18-06-1990,32.2,27.6,,0
19-06-1990,30.6,,36.3,
20-06-1990,29.8,,35.9,
21-06-1990,31.1,26.4,38.2,0
22-06-1990,31.3,,37.3,
23-06-1990,32.4,26.1,38.5,7.1
24-06-1990,31.5,,38.4,0
25-06-1990,30.8,27.4,36.9,0
26-06-1990,31.6,26.4,36.5,0
27-06-1990,31.6,28.6,37.6,0
28-06-1990,31.2,27.4,37.8,0
29-06-1990,30.5,27,37.7,0
30-06-1990,31.3,27.9,37.4,0
01-07-1990,31.4,27.2,36.8,0
02-07-1990,29.6,,36,
03-07-1990,29.8,23.6,37.2,
04-07-1990,30.9,25.7,37,0
05-07-1990,30.7,26.6,,0
06-07-1990,29.8,26.4,35.4,0
07-07-1990,29.9,,35.9,0
08-07-1990,29.4,,35.9,0
09-07-1990,30.1,26.7,35,0
10-07-1990,29.6,,37,0.3
11-07-1990,28.7,,34,0.5
12-07-1990,29.6,24.8,34.4,8.4
13-07-1990,30.1,26.8,37.2,0
14-07-1990,29.9,25.9,36.6,0.3
15-07-1990,29.2,,35.4,0
16-07-1990,28.8,24.8,32.6,0.5
17-07-1990,28.9,,37.2,0
18-07-1990,29.2,25.2,35.7,8.6
19-07-1990,27.3,,34.3,1.5
20-07-1990,27.5,23.2,34.5,26.4
21-07-1990,27.8,,35.2,2.8
22-07-1990,27.9,25.1,30,2.3
23-07-1990,28.9,25.6,35.6,0
24-07-1990,28.9,26.2,,0.3
25-07-1990,30.2,26.1,,0
26-07-1990,30.4,26.6,37.4,0
27-07-1990,30.4,26.1,36.5,0
28-07-1990,29.6,24.7,37.5,0
29-07-1990,29.6,26,36.1,0
30-07-1990,29.9,25.5,36.4,0.5
31-07-1990,30,24.8,36,0
01-08-1990,29.7,,35.6,0
02-08-1990,28.3,24.5,36.6,1.3
03-08-1990,29.2,,35.9,0
04-08-1990,28.5,25.1,34.7,0
05-08-1990,29.3,,35,0
06-08-1990,29.2,25.4,35.5,0.3
07-08-1990,25.3,24.4,,2.8
08-08-1990,28.8,24.6,31.8,3.8
09-08-1990,26.4,24.4,27.9,0
10-08-1990,28.2,,34.8,0.3
11-08-1990,29.1,23.8,33.1,36.1
12-08-1990,30.4,26.9,35.7,0
13-08-1990,28.3,,32.5,0
14-08-1990,27.5,23.9,30.7,1.5
15-08-1990,30.2,,,0
16-08-1990,31.4,26.4,36.3,0
17-08-1990,30.7,26.7,36.3,0
18-08-1990,31.4,26.7,37.4,
19-08-1990,32.1,27.5,36.7,0
20-08-1990,32.2,28.2,36.2,0
21-08-1990,31.2,28.3,,0
22-08-1990,31.7,28.5,36.7,
23-08-1990,30.8,27.8,37.3,0
24-08-1990,29.2,,38.2,0.8
25-08-1990,29.3,24.9,34.9,15.7
26-08-1990,29.2,,35.9,0
27-08-1990,27.9,24.4,31.3,1.3
28-08-1990,29.7,24.6,35.7,0.3
29-08-1990,29.4,26,36.6,1.5
30-08-1990,30.1,24.8,35.5,14.2
31-08-1990,30.6,27.3,37,0
01-09-1990,30.2,27,36.3,1
02-09-1990,29.9,26,36,0
03-09-1990,28.8,25.3,35.4,9.9
04-09-1990,30.8,26.1,36.6,0
05-09-1990,29.2,25.7,35.5,1.5
06-09-1990,28.9,25,33.1,0
07-09-1990,29.1,25.2,34.9,0
08-09-1990,27.9,23.9,33.5,1
09-09-1990,29.4,23.8,35.5,12.4
10-09-1990,30.2,25.4,,0
11-09-1990,30,26,,0
12-09-1990,29.9,26.1,35.2,0
13-09-1990,30.3,26.9,36.4,
14-09-1990,30.7,27.4,36.7,0
15-09-1990,30.4,26,35.8,
16-09-1990,29.8,,35.3,0
17-09-1990,28.5,,35.8,
18-09-1990,29.1,24.1,36.1,0
19-09-1990,29.1,26.2,34.9,0
20-09-1990,29.1,25.4,35.5,
21-09-1990,28.1,,,1
22-09-1990,28.4,20.3,34.7,25.4
23-09-1990,27.6,,34.9,0
24-09-1990,28.8,24.2,34.2,2.5
25-09-1990,27.6,,32.5,0
26-09-1990,28.8,,33.4,0
27-09-1990,27.2,,34.8,
28-09-1990,26.4,23.6,30.4,23.4
29-09-1990,26.6,23,29.5,27.7
30-09-1990,27.2,25.6,29.2,1
01-10-1990,27.8,25.7,30.4,0.5
02-10-1990,28.3,25.9,32.7,0
03-10-1990,29.3,25.5,33.9,3
04-10-1990,28.6,25.8,32.7,0
05-10-1990,29.1,26,34.9,0
06-10-1990,30.4,25.8,36.1,0
07-10-1990,30.1,25.6,36.4,0
08-10-1990,29.5,26,35.3,0
09-10-1990,28.8,25.9,33.4,0
10-10-1990,29.1,,33.6,0
11-10-1990,28.1,25.6,31.9,
12-10-1990,27.6,24.9,31.6,
13-10-1990,28.2,24.5,32.8,0
14-10-1990,28.6,24.9,32.7,0
15-10-1990,27.7,24.9,32.2,3.8
16-10-1990,27.7,23.6,31.7,5.1
17-10-1990,29,24.3,32,0
18-10-1990,27.8,24.8,31.7,4.8
19-10-1990,25.3,24.4,26.3,27.4
20-10-1990,25.8,23.3,27.5,59.7
21-10-1990,27.1,24.1,29.1,7.6
22-10-1990,26.5,24.5,,7.1
23-10-1990,26.3,24,28.6,20.1
24-10-1990,26.9,24.9,31.4,0
25-10-1990,27,24.5,30.8,23.1
26-10-1990,27.7,23.8,31.3,19.1
27-10-1990,24.8,23.8,26.4,22.9
28-10-1990,24.7,23,26.9,46
29-10-1990,24.1,,26,23.6
30-10-1990,23.9,23.3,25.7,104.9
31-10-1990,24.2,23.2,25.7,82
01-11-1990,23.7,,25.7,7.6
02-11-1990,24.8,22.7,27.4,133.1
03-11-1990,26.7,22,31.7,0
04-11-1990,27.2,23.9,30.7,0
05-11-1990,28.1,24.7,32.9,0
06-11-1990,28.5,23.9,33.2,0
07-11-1990,,,,
08-11-1990,,,,
09-11-1990,27.4,24.1,32.9,0
10-11-1990,26.9,,,0
11-11-1990,25.8,21.4,31.1,0
12-11-1990,24.9,20.3,30.7,0
13-11-1990,27.2,20.3,31.9,0
14-11-1990,24.4,23.6,26.3,10.4
15-11-1990,26,23,29.5,17.5
16-11-1990,26.8,,29.9,0
17-11-1990,26.9,23.7,30.9,1
18-11-1990,26.9,24.2,30.8,0
19-11-1990,27.2,22.8,,0
20-11-1990,26.6,22.8,30.7,0
21-11-1990,25.8,,29.4,7.1
22-11-1990,25,,29.8,0
23-11-1990,27.1,23.8,29.9,0
24-11-1990,27,24.7,30.4,0
25-11-1990,25.7,23.7,27.9,8.6
26-11-1990,26.5,,,0
27-11-1990,26.9,24.4,29.7,8.4
28-11-1990,26.8,23.5,29.5,2
29-11-1990,25.8,22.8,29.9,0
30-11-1990,25.7,22.3,30.9,0
01-12-1990,25.7,21.4,30.1,0
02-12-1990,25.9,21.9,,0
03-12-1990,27.2,23.9,29.6,3.3
04-12-1990,25.9,,27.4,0
05-12-1990,26.8,,29.5,8.4
06-12-1990,26.7,23,29.5,0
07-12-1990,27.1,23.8,29.4,0
08-12-1990,26.4,22.4,29.5,0
09-12-1990,25.1,,29.2,1.5
10-12-1990,25.1,21.4,29.1,0
11-12-1990,25.2,21.2,29.5,0
12-12-1990,25.9,21.7,28.9,0
13-12-1990,25.4,21.2,29.2,0
14-12-1990,25.3,,28.3,0
15-12-1990,24.9,21.4,28.5,0
16-12-1990,24.4,,29.1,0
17-12-1990,25,19.8,30.7,0
18-12-1990,24.8,20.9,30.6,0
19-12-1990,25.3,21.4,29.7,0
20-12-1990,25,22.1,28.9,2.3
21-12-1990,25.9,,29.2,0
22-12-1990,25.7,,29.3,0
23-12-1990,25.5,22.4,28.4,
24-12-1990,25.2,22,28.4,0
25-12-1990,24.5,21.2,28.4,0
26-12-1990,24.9,21.3,28.3,0
27-12-1990,,,,
28-12-1990,24.2,20,28.8,0
29-12-1990,24.2,19.9,28.3,0
30-12-1990,24,,26.1,
31-12-1990,24.8,22.9,27.5,
01-01-1991,25.7,22.5,30.3,15.5
02-01-1991,26.3,23.8,31.1,0.3
03-01-1991,25.3,,29.4,0
04-01-1991,24.9,22.3,28.1,0
05-01-1991,25,22,29.2,0.5
06-01-1991,25.9,22.2,29.7,0
07-01-1991,25.4,22.5,29.4,0.5
08-01-1991,23.9,,28.5,0
09-01-1991,25.2,20.6,29,
10-01-1991,25.1,21.6,29.7,0
11-01-1991,25.4,22.4,29.3,0
12-01-1991,24.9,21.2,29.5,0
13-01-1991,23.8,20.6,29,0
14-01-1991,23.3,,29.5,0
15-01-1991,24.7,20,29.4,0
16-01-1991,25.2,21.9,28.9,0
17-01-1991,26,22.9,29.3,0
18-01-1991,25.3,22.2,29.6,0
19-01-1991,25.2,,30,0
20-01-1991,24.7,21.4,30,0
21-01-1991,24.9,21,29.9,0
22-01-1991,25,20.7,29.8,0
23-01-1991,25.4,21.3,29.9,0
24-01-1991,25.2,21.4,29.5,0
25-01-1991,24.3,21.3,30,0
26-01-1991,24.6,20.5,29.7,0
27-01-1991,24.3,20.4,29.7,0
28-01-1991,25.1,19.5,32.9,0
29-01-1991,26.3,18.6,,0
30-01-1991,25.4,20.9,30,0
31-01-1991,25.7,20.9,30.1,
01-02-1991,25.9,23.1,29.7,1.3
02-02-1991,26.3,22.9,30.5,0
03-02-1991,27.4,23.4,33.1,0
04-02-1991,26.6,23.4,,0
05-02-1991,25.9,21.9,30.4,0
06-02-1991,25.5,21.4,30.4,0
07-02-1991,24.6,21.3,30.5,0
08-02-1991,25.2,21,30.3,0
09-02-1991,25.2,20.9,30.5,0
10-02-1991,25.1,21,30.6,0
11-02-1991,25.9,19.5,33.6,0
12-02-1991,24.9,20.3,32.4,0
13-02-1991,26.1,19.7,32.2,0
14-02-1991,24.7,20,31.9,0
15-02-1991,27.7,20.5,,0
16-02-1991,27.6,20.4,35.5,0
17-02-1991,27.8,21.4,35.9,0
