time,tavg,tmin,tmax,prcp
01-01-1990,7.2,,18.1,0
02-01-1990,10.5,,17.2,0
03-01-1990,10.2,1.8,18.6,
04-01-1990,9.1,,19.3,0
05-01-1990,13.5,,23.8,0
06-01-1990,11.5,5.9,21.4,0
07-01-1990,14.2,5.4,23.6,0
08-01-1990,17.1,,24.6,0
09-01-1990,11.1,,24.6,0
10-01-1990,14.8,4.1,23.6,0
11-01-1990,12.9,5.1,23.6,0
12-01-1990,12.5,7.3,21.1,0
13-01-1990,15.3,,,0
14-01-1990,17.3,6.9,28.2,0
15-01-1990,16.5,9,24.9,0
16-01-1990,15.8,,24.9,0
17-01-1990,17.6,,26.9,0
18-01-1990,19.9,13,29.5,0
19-01-1990,20.5,13,29.5,
20-01-1990,17.5,10.7,28.7,0
21-01-1990,18.6,,26.4,0
22-01-1990,20,10.8,28.3,0
23-01-1990,18.8,13.2,28.9,0
24-01-1990,18.4,,28.9,0
25-01-1990,18.9,,26.2,
26-01-1990,18.9,,27.9,0
27-01-1990,18.9,9.8,29.9,0
28-01-1990,20.7,,28.8,0
29-01-1990,21.4,,28.8,0
30-01-1990,15.6,,26.2,0
31-01-1990,17.1,10,26.2,0
01-02-1990,17.5,,27.7,0
02-02-1990,15.2,,27.7,0
03-02-1990,,,,
04-02-1990,17.4,,24.6,0
05-02-1990,16.2,9.2,,23.9
06-02-1990,15.2,,,0
07-02-1990,20.7,10.1,25.9,0
08-02-1990,20.7,12.9,26.1,
09-02-1990,20.3,,27.8,0
10-02-1990,19.9,,27.8,0
11-02-1990,20.7,13,29,0
12-02-1990,20,12.8,27.9,
13-02-1990,17,,19.7,
14-02-1990,18,,23.4,0
15-02-1990,16.8,10.5,24.1,0
16-02-1990,16.6,10.1,23.8,0
17-02-1990,17.5,8.3,25.3,0
18-02-1990,16,13.2,25.3,12.7
19-02-1990,17.1,12.1,23.7,0
20-02-1990,17.3,11.5,,0
21-02-1990,17.5,10.4,24.9,0
22-02-1990,17.6,,25.3,0
