time,tavg,tmin,tmax,prcp
01-01-1990,23.2,17,,0
02-01-1990,22.2,16.5,29.9,0
03-01-1990,21.8,16.3,30.7,0
04-01-1990,25.4,17.9,31.8,0
05-01-1990,26.5,19.3,33.7,0
06-01-1990,25.1,19.8,33.5,0
07-01-1990,26,18.9,33.7,0
08-01-1990,26.6,18.8,34.6,0
09-01-1990,25.1,19,34.4,0
10-01-1990,26.8,19.3,34.7,0
11-01-1990,25.6,18.5,34,0
12-01-1990,24.3,17.5,35,0
13-01-1990,22.4,16.5,34.4,0
14-01-1990,25.4,16.3,,0
15-01-1990,23.7,15,32.4,0
16-01-1990,24,15.8,33.5,0
17-01-1990,24.8,16.7,34.1,0
18-01-1990,23.8,16.3,34.8,0
19-01-1990,25.5,17.5,35.2,0
20-01-1990,25.2,16,34.4,0
21-01-1990,25.4,,32.7,0
22-01-1990,25.8,17,35.3,0
23-01-1990,26.4,18,36,0
24-01-1990,26.1,18.2,36,0
25-01-1990,25.5,18.6,37.1,0
26-01-1990,25.9,18.7,,0
27-01-1990,25.2,16.9,32.7,0
28-01-1990,24.1,17.5,31.2,0
29-01-1990,23.8,15,32.6,0
30-01-1990,24.2,17,35.2,0
31-01-1990,24.3,10.5,32.8,0
01-02-1990,24.2,17.5,31.1,0
02-02-1990,23.2,16,31.1,0
03-02-1990,24.8,15.4,32.6,0
04-02-1990,23.8,15.7,33.3,0
05-02-1990,24,15.3,33.2,0
06-02-1990,26,17.5,37,0
07-02-1990,27.1,20.6,36.2,0
08-02-1990,27,20.7,34.9,0
09-02-1990,26.5,21.3,33.8,0
10-02-1990,28.2,21.5,36.3,0
11-02-1990,28.1,22.2,36.5,0
12-02-1990,28.1,,35.1,0
13-02-1990,27,,32,0
14-02-1990,25.3,21,31.1,0
15-02-1990,24.3,,29.8,0
16-02-1990,23.9,17.7,30.1,0
17-02-1990,24.1,17.5,30.3,0
18-02-1990,23,,27.9,0
19-02-1990,22.6,,28.5,0
20-02-1990,22.7,15.1,28,0
21-02-1990,21.7,15.4,28.9,0
22-02-1990,23.7,17.7,30.1,0
23-02-1990,23.7,18.7,29.7,0
24-02-1990,25.1,17.4,29.3,0
25-02-1990,25.4,20.2,31,0
26-02-1990,24.8,21.4,30.3,0
27-02-1990,25.4,20.1,30.6,0
28-02-1990,24.9,,28.5,2.8
01-03-1990,23,,27.7,2.8
02-03-1990,21.2,16,28.7,0
03-03-1990,22.9,15.5,28.7,0
04-03-1990,23,16,28.4,0
05-03-1990,23.9,19.5,29.5,0
06-03-1990,24.3,17.6,30.1,0
07-03-1990,23.7,19.3,30.6,0
08-03-1990,24.7,19.4,30.2,0
09-03-1990,23.2,19.1,30.2,0
10-03-1990,25.6,19,30.8,0
11-03-1990,25.1,20.8,29.4,0
12-03-1990,24.7,20.3,29.5,0
13-03-1990,24.9,20,29.8,0
14-03-1990,26.1,22.5,30.4,0
15-03-1990,26.4,,30.6,0
16-03-1990,27.3,22.4,33.3,0
17-03-1990,28.3,22.3,37.2,0
18-03-1990,27.6,22.6,32.1,0
19-03-1990,27.9,22.9,32.9,0
20-03-1990,29.6,22.5,36.3,0
21-03-1990,30.8,22.3,36.7,0
22-03-1990,28.4,22.3,34.2,0
23-03-1990,26.4,,30.5,0
24-03-1990,24,,28.3,0
25-03-1990,24.2,16.9,29.6,0
26-03-1990,24.4,19,29.1,0
27-03-1990,26.1,21.3,29.8,0
28-03-1990,27.1,23.5,31.7,0
29-03-1990,27,22.7,32,0
30-03-1990,26.7,23.3,31.1,0
31-03-1990,26.5,,32.1,0
01-04-1990,26.1,20.5,31.5,0
02-04-1990,27.3,21.5,32.5,0
03-04-1990,28.3,21.4,35.9,0
04-04-1990,26.7,21,30.9,0
05-04-1990,26.7,21.9,31.2,0
06-04-1990,26.6,21.9,30.2,0
07-04-1990,27.3,22.1,31.6,0
08-04-1990,28.4,23.3,33.6,0
09-04-1990,27.5,22.4,33.2,0
10-04-1990,27.4,21.9,32.3,0
11-04-1990,28.4,22.9,32.3,0
12-04-1990,27.6,22.7,32.6,0
13-04-1990,27.6,23.3,31.3,0
14-04-1990,27.4,23,32.1,0
15-04-1990,27.2,21.9,31.4,0
16-04-1990,27.4,22.7,31.2,0
17-04-1990,27.6,23.4,31.6,0
18-04-1990,28.1,,32.5,0
19-04-1990,28,23.8,31.6,0
20-04-1990,27.9,23.9,31.3,0
21-04-1990,28.1,24.3,31.8,0
22-04-1990,27.8,,31.5,0
23-04-1990,28.2,23.1,33.3,0
24-04-1990,29.2,23.5,33.5,0
25-04-1990,29.2,23.9,33.5,0
26-04-1990,28.7,25.8,32.7,0
27-04-1990,28.8,24.8,32.5,0
28-04-1990,28.3,24,32.7,0
