time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1990-01-01,20.1,,28.0,0.0,,,,,,
1990-01-02,20.7,16.4,,0.0,,,,,,
1990-01-03,20.7,16.0,27.4,0.0,,,,,,
1990-01-04,18.8,,28.0,0.0,,,,,,
1990-01-05,19.8,11.0,28.2,0.0,,,,,,
1990-01-06,22.2,12.5,,0.0,,,,,,
1990-01-07,20.8,,,0.0,,,,,,
1990-01-08,20.3,13.6,29.5,0.0,,,,,,
1990-01-09,22.3,14.8,31.6,0.0,,,,,,
1990-01-10,21.6,14.5,30.8,0.0,,,,,,
1990-01-11,21.7,15.6,30.7,0.0,,,,,,
1990-01-12,21.2,12.8,29.3,0.0,,,,,,
1990-01-13,22.6,,29.5,,,,,,,
1990-01-14,24.9,14.0,32.1,0.0,,,,,,
1990-01-15,24.7,15.5,33.4,0.0,,,,,,
1990-01-16,23.4,15.6,31.3,0.0,,,,,,
1990-01-17,19.7,15.0,,0.0,,,,,,
1990-01-18,29.5,,34.1,,,,,,,
1990-01-19,24.2,16.2,33.4,0.0,,,,,,
1990-01-20,26.4,15.4,34.0,0.0,,,,,,
1990-01-21,25.1,17.0,32.1,0.0,,,,,,
1990-01-22,25.3,17.7,32.9,0.0,,,,,,
1990-01-23,24.9,17.3,33.6,0.0,,,,,,
1990-01-24,25.8,,32.7,0.0,,,,,,
1990-01-25,25.4,18.4,33.0,0.0,,,,,,
1990-01-26,25.1,18.8,32.3,0.0,,,,,,
1990-01-27,24.3,14.2,33.0,0.0,,,,,,
1990-01-28,22.3,15.0,33.0,0.0,,,,,,
1990-01-29,22.4,15.8,,0.0,,,,,,
1990-01-30,26.6,17.0,35.0,0.0,,,,,,
1990-01-31,25.1,17.4,34.4,0.0,,,,,,
1990-02-01,25.6,17.4,34.0,0.0,,,,,,
1990-02-02,26.8,,33.5,0.0,,,,,,
1990-02-03,26.5,,32.5,0.0,,,,,,
1990-02-04,25.4,19.7,34.0,0.0,,,,,,
1990-02-05,26.2,19.6,33.7,0.0,,,,,,
1990-02-06,24.8,19.8,32.8,0.0,,,,,,
1990-02-07,25.4,19.2,32.9,0.0,,,,,,
1990-02-08,24.2,,,0.0,,,,,,
1990-02-09,25.1,19.4,,0.0,,,,,,
1990-02-10,27.1,18.5,32.2,,,,,,,
1990-02-11,25.6,18.8,33.3,0.0,,,,,,
1990-02-12,25.4,19.1,35.4,0.0,,,,,,
1990-02-13,24.4,,34.6,0.0,,,,,,
1990-02-14,26.2,21.6,31.0,,,,,,,
1990-02-15,20.8,,24.0,5.1,,,,,,
1990-02-16,23.1,17.3,29.2,6.6,,,,,,
1990-02-17,24.4,19.0,32.0,0.0,,,,,,
1990-02-18,21.6,19.6,26.3,9.1,,,,,,
1990-02-19,24.1,,29.1,0.0,,,,,,
1990-02-20,23.4,18.4,,0.0,,,,,,
1990-02-21,22.6,18.6,30.4,14.7,,,,,,
1990-02-22,24.2,19.2,29.8,0.0,,,,,,
1990-02-23,24.5,19.5,,,,,,,,
1990-02-24,23.1,18.7,29.6,5.3,,,,,,
1990-02-25,24.7,18.8,,0.0,,,,,,
1990-02-26,26.8,20.4,,0.0,,,,,,
1990-02-27,25.9,18.8,33.5,0.0,,,,,,
1990-02-28,25.7,21.2,32.4,0.0,,,,,,
1990-03-01,26.9,22.5,33.8,,,,,,,
1990-03-02,25.6,,32.7,0.0,,,,,,
1990-03-03,21.4,17.2,25.2,52.3,,,,,,
1990-03-04,22.3,18.0,27.1,3.0,,,,,,
1990-03-05,24.2,19.5,,0.0,,,,,,
1990-03-06,23.4,,29.4,0.0,,,,,,
1990-03-07,25.3,19.8,29.8,7.4,,,,,,
1990-03-08,26.2,20.1,31.8,0.0,,,,,,
1990-03-09,26.1,21.6,31.6,,,,,,,
1990-03-10,24.6,20.6,31.8,0.0,,,,,,
1990-03-11,24.4,,31.2,,,,,,,
1990-03-12,24.8,18.8,30.3,0.0,,,,,,
1990-03-13,25.3,,31.0,0.0,,,,,,
1990-03-14,25.7,20.4,30.9,,,,,,,
1990-03-15,26.1,21.6,31.1,0.0,,,,,,
1990-03-16,26.5,22.0,31.9,0.0,,,,,,
1990-03-17,26.6,21.5,31.9,0.0,,,,,,
1990-03-18,26.8,20.4,32.6,0.0,,,,,,
1990-03-19,27.9,,34.3,0.0,,,,,,
1990-03-20,29.4,,36.3,0.0,,,,,,
1990-03-21,29.2,23.4,35.7,0.0,,,,,,
1990-03-22,29.1,24.0,,,,,,,,
1990-03-23,29.2,25.5,33.9,,,,,,,
1990-03-24,28.3,,33.5,0.0,,,,,,
1990-03-25,27.3,,,,,,,,,
1990-03-26,25.5,,32.0,,,,,,,
1990-03-27,27.3,20.0,31.9,,,,,,,
1990-03-28,25.4,22.2,32.0,7.6,,,,,,
1990-03-29,26.6,22.2,32.1,0.3,,,,,,
1990-03-30,27.9,22.1,33.7,0.0,,,,,,
1990-03-31,,,,,,,,,,
1990-04-01,26.6,,36.5,0.0,,,,,,
1990-04-02,27.5,20.6,32.7,30.7,,,,,,
1990-04-03,24.4,22.0,30.0,2.5,,,,,,
1990-04-04,25.1,21.0,28.4,14.5,,,,,,
1990-04-05,26.8,20.4,31.4,0.0,,,,,,
1990-04-06,27.9,23.0,33.0,,,,,,,
1990-04-07,27.4,19.5,33.0,33.3,,,,,,
1990-04-08,27.7,20.0,,10.7,,,,,,
1990-04-09,29.9,23.0,35.8,0.0,,,,,,
1990-04-10,30.0,25.8,,0.0,,,,,,
1990-04-11,30.0,26.0,34.8,0.0,,,,,,
1990-04-12,30.7,26.0,35.4,,,,,,,
1990-04-13,29.8,26.6,34.8,0.0,,,,,,
1990-04-14,29.6,25.9,35.4,0.0,,,,,,
1990-04-15,29.2,,34.0,0.0,,,,,,
1990-04-16,29.1,26.2,34.1,0.0,,,,,,
1990-04-17,28.7,25.4,32.7,0.0,,,,,,
1990-04-18,29.4,25.0,34.4,0.0,,,,,,
1990-04-19,29.9,26.0,34.8,0.0,,,,,,
1990-04-20,30.0,26.5,38.3,0.0,,,,,,
1990-04-21,30.8,27.0,36.5,,,,,,,
1990-04-22,31.5,,36.9,0.0,,,,,,
1990-04-23,30.1,26.4,36.0,0.0,,,,,,
1990-04-24,29.9,26.3,36.1,0.0,,,,,,
1990-04-25,29.9,26.5,35.4,0.0,,,,,,
1990-04-26,29.9,25.6,36.4,0.0,,,,,,
1990-04-27,29.2,,34.0,0.0,,,,,,
1990-04-28,28.4,,35.0,0.0,,,,,,
1990-04-29,23.0,,29.1,,,,,,,
1990-04-30,27.0,22.0,33.9,0.0,,,,,,
1990-05-01,26.9,20.6,33.2,13.7,,,,,,
1990-05-02,29.2,24.5,34.8,0.0,,,,,,
1990-05-03,29.2,24.3,34.0,0.0,,,,,,
1990-05-04,27.8,25.0,34.0,,,,,,,
1990-05-05,27.8,23.7,,0.0,,,,,,
1990-05-06,28.8,24.6,33.4,0.0,,,,,,
1990-05-07,30.1,25.0,32.7,,,,,,,
1990-05-08,29.1,25.6,33.3,0.0,,,,,,
1990-05-09,28.4,,32.8,,,,,,,
1990-05-10,28.6,24.5,33.4,,,,,,,
1990-05-11,27.1,23.5,31.5,31.8,,,,,,
1990-05-12,26.8,24.5,31.0,8.6,,,,,,
1990-05-13,26.6,23.5,31.1,9.9,,,,,,
1990-05-14,26.9,24.0,29.7,15.5,,,,,,
1990-05-15,28.2,25.0,33.2,0.5,,,,,,
1990-05-16,30.1,26.0,34.9,5.1,,,,,,
1990-05-17,,,,,,,,,,
1990-05-18,29.6,22.4,35.0,19.8,,,,,,
1990-05-19,30.2,27.6,,0.0,,,,,,
1990-05-20,31.4,27.4,,0.0,,,,,,
