time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-07-06,29.3,26.2,32.6,,,197.0,6.8,,1002.5,
2021-07-07,29.7,27.3,33.4,11.1,,199.0,6.9,,1002.2,
2021-07-08,27.4,25.8,29.7,66.9,,186.0,6.3,,1001.8,
2021-07-09,28.5,26.1,32.1,11.4,,173.0,3.9,,1001.0,
2021-07-10,29.0,26.2,32.6,2.7,,121.0,4.6,,1000.9,
2021-07-11,29.3,26.2,33.7,10.8,,70.0,5.8,,1002.2,
2021-07-12,28.9,25.7,32.9,5.4,,95.0,7.0,,1003.4,
2021-07-13,28.6,25.5,32.5,10.1,,101.0,5.5,,1002.8,
2021-07-14,29.0,25.4,32.7,1.9,,138.0,6.5,,1002.7,
2021-07-15,29.5,25.5,33.4,1.3,,152.0,8.7,,1004.0,
2021-07-16,29.6,26.3,33.2,1.1,,179.0,9.5,,1006.1,
2021-07-17,29.8,27.0,32.9,6.0,,181.0,8.3,,1004.9,
2021-07-18,29.6,27.4,32.3,8.9,,181.0,8.0,,1002.8,
2021-07-19,29.0,27.1,31.5,12.1,,194.0,6.6,,1001.2,
2021-07-20,28.7,26.8,31.9,28.7,,254.0,5.6,,1001.1,
2021-07-21,28.4,26.2,31.7,10.1,,230.0,5.1,,998.5,
2021-07-22,28.8,25.5,32.8,17.3,,55.0,6.9,,995.8,
2021-07-23,27.5,26.5,29.0,48.3,,5.0,8.9,,994.6,
2021-07-24,28.5,26.2,32.3,12.4,,203.0,9.2,,996.8,
2021-07-25,29.4,26.0,33.0,4.7,,203.0,9.4,,999.7,
2021-07-26,29.5,26.9,33.0,1.8,,237.0,11.0,,999.5,
2021-07-27,27.9,26.5,30.5,20.9,,244.0,12.8,,998.3,
2021-07-28,27.1,26.0,29.2,9.9,,257.0,15.5,,998.5,
2021-07-29,27.4,25.8,30.6,6.4,,260.0,13.9,,999.0,
2021-07-30,26.9,25.8,28.7,17.1,,250.0,17.4,,998.7,
2021-07-31,27.1,25.2,30.7,16.0,,198.0,14.1,,999.6,
2021-08-01,28.6,25.7,32.7,2.6,,208.0,10.5,,1000.4,
2021-08-02,28.6,25.1,33.1,0.8,,224.0,9.0,,1001.6,
2021-08-03,28.5,25.7,31.8,0.4,,243.0,9.9,,1002.8,
2021-08-04,27.7,26.2,30.4,13.1,,221.0,5.1,,1003.4,
2021-08-05,28.3,26.3,31.5,8.2,,210.0,5.5,,1001.4,
2021-08-06,28.2,25.8,32.2,19.3,,201.0,5.5,,1001.2,
2021-08-07,28.5,26.5,31.9,17.5,,201.0,6.8,,1003.4,
2021-08-08,28.2,26.2,31.5,11.2,,193.0,6.5,,1005.2,
2021-08-09,29.1,26.4,32.6,10.6,,202.0,8.3,,1005.0,
2021-08-10,29.3,26.8,33.2,9.5,,223.0,9.1,,1002.9,
2021-08-11,28.9,26.4,32.0,13.8,,233.0,8.1,,1002.9,
2021-08-12,29.0,26.0,32.6,3.5,,199.0,6.2,,1004.7,
2021-08-13,29.6,26.7,33.2,1.0,,204.0,5.5,,1003.6,
2021-08-14,29.7,26.6,33.9,13.2,,209.0,5.1,,1001.8,
2021-08-15,28.8,26.1,33.2,17.7,,331.0,4.6,,1002.5,
2021-08-16,29.0,26.4,33.1,13.4,,193.0,3.7,,1004.1,
2021-08-17,29.1,26.5,32.9,9.8,,56.0,5.4,,1003.4,
